"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","학교구분","학년구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"921 ","재단법인 마포인재육성장학재단","재능장학생","지자체(출자출연기관)","장학금","특기자","해당없음","해당없음","○ 해당없음","○ 해당없음","○ 월 50만원","○ 고등학교 재학생 및 동 연령대의 구민 중 선발분야에서 재능을 보여 학교장/ 동장/ 구청장/ 교육장 등 추천권자의 추천을 받은 학생","○ 공고일 현재 계속하여 6개월 이상 마포구에 거주하고 있는 고등학생","○ 자기개능 개발/ 가정 형편 별로 점수를 부여하여 장학생선정심사위원회의 심사를 거쳐 고득점자순으로 선발○ 음악/미술/무용/체육/연극/학습/특목고/기타 분야※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 12명 (초/중 포함)","○ 선발분야 중 한가지 분야만 신청 가능○ 장학생 신청은 1가구 당 1명으로 하되/ 다자녀(3자녀 이상)가정은 2자녀까지 신청 가능※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장/ 동장/ 구청장/ 교육장 추천","○ 장학생 신청서○ 추천서○ 개인정보수집 이용 제공 조회동의서○ 주민등록초본○ 가족관계증명서○ 재능개발 증빙 서류○ 지방세세목별과세증명서○ 확정일자를 받은 임대차 계약서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.mapojh.or.kr/","2026-04-22","2026-04-28"
"922 ","재단법인 화순장학회","다자녀장학금","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","○ 50만원","○ 다자녀(3자녀 이상) 가정○ 화순 관내 학교 재학생","○ 공고일 기준 부모(보호자)와 학생 중 2인 이상이 화순군에 1년 이상 주민등록을 유지하고 있는 자","※ 기관확인필요","○ 00명","○ (재)화순장학회의 타 장학금(화순·복지·예능특기)과 중복지원 불가※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 장학금 지원 신청서○ 개인(신용)정보 수집·이용·제공 및 조회 동의서○ 주민등록등본○ 가족관계증명서○ 통장사본○ (필요 시) 보호자와의 관계 소명에 필요한 서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.hwasun.go.kr","2026-02-20","2026-03-08"
"923 ","재단법인 수원시장학재단","효.선행장학생","지자체(출자출연기관)","장학금","기타","해당없음","해당없음","해당없음","해당없음","○ 70만원","○ 효 또는 선행을 실천하여 타의 귀감이 되는 학생※ 해당기간: 2024년 9월부터 2025년 장학생 신청서류 직전까지","○ 공고일 현재 계속해서 2년이상 수원시에 주민등록을 두고 거주하고 수원시에 소재한 고등학교에서 재학 중인 학생","○ 공적조서 및 관련 증빙자료에 의거 선발위원회에서 선발","○ 6명","○ 1가구 1명 선정○ 기존 효선행장학생으로 선발된 학생은 선발 배제○ 장학생 선발 및 지급관련 서류에서 부정한 방법으로 선발 된 경우에는 장학생 선발 취소 및 장학금을 환수 조치 할 수 있음※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장/동장/수원시자원봉사센터장 추천","○ 추천공문○ 효/ 선행장학금 신청서○ 관련 증빙자류○ 주민등록 초본○ 통장사본○ 개인정보 수집/이용/제공 및 조회 동의서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://suwon4u.or.kr/","2025-09-05","2025-09-12"
"924 ","전라남도 함평군청","함평군인재양성기금(특기자)","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","○ 해당없음","○ 해당없음","○ 50만원","○ 문화/예술/체육/과학/농업 분야에 소질과 재능이 뛰어난 사람 중 직전년도 도 단위 이상 공식대회에서 입상한 경력이 있으며 요건에 해당하는 고등학생","○ 함평군 관내 고등학교에 재학 중인 학생○ 함평군 관내에 주민등록상 주소를 두고 있는 관외 고등학교 재학생","○ 직전년도 도 단위 이상 공식대회 입상실적 + 가산점(5점)○ 함평군인재양성추진위원회 심의를 통해 결정되며 장학금 신청자는 심의 결정된 사항에 대해 이의를 제기할 수 없음","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 해당없음","○ 학교장 또는 읍/면장 추천","○ 지원 신청서○ 지원대상자 추천서○ 개인정보 수집·이용·제공 및 조회 동의서○ 서약서○ 지방세 납세증명서○ 본인 명의의 통장사본○ 재학증명서○ 주민등록 등본○ 도 단위 이상 공식대회 입상 상장 사본※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.hampyeng.go.kr/","2026-03-03","2026-03-27"
"925 ","하트하트재단","취약계층 통합지원사업","기타","장학금","해당없음","해당없음","해당없음","해당없음","○ 저소득 아동/청소년○ 기초생활수급자/차상위계층/중위소득 80% 이내 아동/청소년","○ 의료비 : 연간 최대 200만원 지원 (수술비/검진비/정기치료비/약제비/심리치료비 등)○ 생계비 : 연간 최대 120만원 지원 (월세/전월세 이자/주거환경 개선비/이사비용/생활비 등)※ 사례선정 시 재단과 신청기관 간 논의를 통해 최종 지원 금액 확정","○ 의료/생계비 지원이 필요한 만 18세 이하 아동/청소년○ 의료비 : 만 18세 이하 긴급수술 필요 환아/희귀난치성 질환 환아 등","해당없음","※ 기관확인필요","※ 기관확인필요","※ 기관확인필요","○ 사회복지기관 또는 병원 등 기관을 통해 신청※ 개인단위 지원불가","○ 지원신청서 및 개인정보수집동의서○ 원본 아동사진(.jpg)○ 가족관계증명서○ 수급자증명서/차상위증명서/건강보험증/건강보험료 납부확인서 중 택 1○ 진단서(의료비 신청 시)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.heartheart.org","2026-01-01","2026-11-30"
"926 ","부산사상구장학회","미래인재장학생","지자체(출자출연기관)","장학금","성적우수","해당없음","해당없음","○ 직전학기 내신 성적 중 국어·수학·영어 교과목 등급 평균이 2등급 이내이거나 수능 성적 중 국어·수학·영어 등급 평균이 2등급 이내인 학생○ 진학 후 학점 3.0 이상 유지 시 최대 4년간 계속 지급 (1200만원)","해당없음","○ 300만원","○ 고등학교 3학년 (대학입학예정자)","○ 세대주 또는 보호자가 사상구 관내에 주소를 두고 장학금 신청일 현재 거주하고 있는 구민의 자녀","※ 기관확인필요","○ 2명 (게속장학생 별도)","○ 타기관등으로 부터 연간 200만원 이상 장학금을 받은 학생 (단 생활이 극히 어려운 경우에는 신청 가능)","○ 동장 추천 필요","○ 장학생신청서○ 장학생추천서○ 주민등록등본○ 재학증명서○ 학교생활기록부 또는 성적증명서(수능)○ 가점 대상자 증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.sasang.go.kr/index.sasang ","2025-11-28","2026-01-06"
"927 ","재단법인 대구광역시인재육성장학재단","아름드리 장학금","지자체(출자출연기관)","장학금","기타","해당없음","해당없음","해당없음","해당없음","○ 70만원","○ 일반계고 3학년 석식을 하는 저소득층 및 사각지대 소외계층 학생※ 2025년 석식을 한 적이 있는 학생도 포함 ","해당없음","○ 학교 및 시설에서 장학생 선발 심사위원회를 개최하여 시교육청 담당부서로 학생 추천 후 담당부서에서 적/부심사위원회 개최하여 선발※ 아름드리 장학금 담당부서 : 중등교육과","○ 222명 (74교 / 교댱 3명)","○ 장학금 수령자가 학업을 중단(자퇴/휴학)한 경우○ 징계 처분을 받았거나 품행이 극히 불량할 때○ 중복 지원 제외 (2025년 대구인재육성장학재단 장학금 기지원자 제외)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천서","○ 학교장추천서○ 개인정보 수집/이용 동의서○ 사유서 (학교 세외계좌일 경우만 제출)○ 통장사본※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.dge.go.kr ","2025-09-19","2025-10-24"
"928 ","계룡시애향장학회","학업우수장학생","기타","장학금","성적우수","해당없음","해당없음","○ 상위 3% 이내※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 100만원","○ 관내 고등학교 입학생","○ 선발 공고일 기준으로 1년 전부터 계속하여 계룡시에 주소를 두고 거주하는 주민 또는 주민의 자녀","※ 기관확인필요","○ 6명","○ 이전 계룡시애향장학회 장학생 선발자 또는 국외연수·문화탐방 수혜자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장의 추천","○ 신청서○ 서약서○ 개인정보의 수집·이용에 관한 동의서○ 계룡시 1년 이상 거주자 주민등록초본○ 학교장 추천서○ 성적증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.gyeryong.go.kr","2025-03-10","2025-03-12"
"929 ","재단법인 류호산장학회","장학생","기타","장학금","성적우수","해당없음","해당없음","○ 전학년 석차가 20% 이내인 성적우수자","○ 가족 연간 소득이 3천만원 이하인 자","○ 연간 150만원○ 최대 2년 지급","○ 2025학년도 재학중인 학생○ 수여식 참석 필수","해당없음","○ 생활보호 대상자 우선 선발","○ 00명","○ 타 장학금 및 학비보조를 받지 않는 자","○ 학교장 추천","○ 재학증명서○ 전체 학년 성적증명서○ 장학생 선발 지원 신청서○ 자기소개서 및 자기 발전 계획서○ 본인 명의 통장 사본○ 소득 금액 증명원 (2023년도 근로소득원천징수영수증 및 소득금액증명원)○ 재산세과세증명※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://rhs.or.kr","2025-01-02","2025-01-14"
"930 ","영천시장학회","특성화고우수학생장학금","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","○ 200만원","○ 관내 특성화고 재학생 중 전공 분야 등 자격증을 2개 이상취득하고 타의 모범이 되는 학생","○ 장학생 선발계획 공고일 현재 1년 이상 영천시에 주소를 두고 있는 자(본인 또는 보호자)","○ 장학위원회/ (재)영천시장학회 이사회 의결을 거쳐 선발○ 장학생 선발 결과는 영천시장학회 홈페이지 게시○ 추천권자 신청에 의한 선발인 경우 추천권자에게 결과 통보○ 선발결과 통지 및 장학금 지급 : 4월 중 예정(일정은 변동될 수 있음)","○ 6명","○ 당해연도 내 동일인 중복 지급 불가","○ 학교장 추천 필요","○ 신청서(별지1)/ 개인정보동의서(별지3)○ 주민등록등본 또는 초본 (1년 이상 관내 거주 여부 확인이 가능하도록 발급)○ 추천서(별지2)○ 전공관련 등 자격증 사본 등 자격증 취득 입증서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.ycsf.or.kr","2025-12-12","2026-01-09"
"931 ","재단법인영덕군교육발전위원회","우수신입생장학","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","○ 중학교 졸업성적 상위 10%이내의 자로 고교 진학 후 직전학년에 이수과목의 1/2 이상이 2등급 이상이고 4등급을 초과하는 과목이 없는 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 해당없음","○ 3백만원※ 단 타지역 고교전학시 지급된 장학금 전액환수","○ 2024/2025년도 우수신입생 포함","○ 장학생 선발 신청일 현재 부모 도는 보호자의 주민등록이 영덕군 내에 있고 관내학교에 재학중인 학생","○ 각 학교장 추천 후 법인이사회 선정","※ 기관확인필요","○ 해당없음","○ 학교장 추천","※ 기관확인필요","https://www.ydedu.or.kr","2026-04-08","2026-04-30"
"932 ","굿네이버스 경기남부사업본부","희망장학금","기타","장학금","해당없음","해당없음","해당없음","해당없음","○ 어려운 가정형편을 가지고 있는 학생※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 1인 30만원(의료비 및 대규모 지원금 필요 시 별도 연락)","해당없음","○ 교내 회의 재학 고등학생 중 지원이 필요하다고 판단되는 학생","※ 기관확인필요","○ 기금 소진 시 까지 선발","※ 기관확인필요","해당없음","○ 추천서○ 개인정보동의서○ 지금 통장사본(아동명의 우선)○ 가족관계증명서(통장 명의가 학생본인이 아닌 경우에만 해당)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://ggsouth.goodneighbors.kr/","2025-02-18","2025-03-31"
"933 ","백운장학회(광양)","다문화가정","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","○ 70만원","○ 관내 고교에 재학 중인 자○ 봉사 및 선행 실적이 우수한 자○ 다문화가정","○ 공고일 기준 부모 또는 보호자가 광양시에 1년 이상 주소를 두고 있는 학생 (부·모 모두가 주소를 광양시에 두고 있어야함)","※ 기관확인필요","○ 3명","○ 신청 학생이 개인소득자(직장인/사업자)인 경우(파트타임 제외)○ 장학금 신청자와 그 부모가 지방세를 체납 중인 경우○ 장학금의 이중/허위 수혜 등 기타 부정행위가 적발된 경우","○ 평양교육지원청교육장의 추천","○ 소속 학교를 통해 신청","http://www.gwangyang.go.kr/fund/index.gwangyang","2025-08-01","2025-08-29"
"934 ","재단법인 충북인재평생교육진흥원","특기장학금","지자체(출자출연기관)","장학금","특기자","해당없음","해당없음","해당없음","해당없음","○ 초 50만원/ 중 70만원/ 고 100만원/ 대학생 200만원","○ 공공기관 및 민간단체가 주최/ 주관한 전국규모 이상 대회 3위 이상 수상실적의 고등학생※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 공고일 현재 1년 이상 도내에 주소를 두고 계속 거주하는 도민 및 도민의 자녀로서 고등학교 재학생","○ 수상실적 100%○ 동점자 처리: 공신력 상위 등급 대회 수상실적 고득점 고학년 순","○ 100명(초/ 중/ 고/ 대학생 포함)※ 학제별 선발인원에 따라 계획인원은 변경될 수 있음","○ 중복수혜를 금지한 기관의 장학금을 받은 자○ 상반기 충북인재평생교육진흥원 장학금 수혜자○ 정규 학제 기간 초과자 / 휴학생○ 충북학사 서울관 동서울관 청주관 재사생○ 육사해사공사경찰대 등 등록금 전액 국비지원을 받는 자","해당없음","○ 주민등록등본○ 가족관계증명서○ 통장 사본○ 수상실적 증빙자료 각 1부○ 재학증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.chrdf.or.kr/","2025-08-20","2025-09-09"
"935 ","대전광역시 동구차세대인재육성장학재단","성적우수장학생","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","○ 2025년도 상반기 전 과목 등급 평균이 2.5등급(9등급제 적용) 이내인 자※1학년은 1.5등급(5등급제 적용)이내인 자","해당없음","○ 100만원","○ 재단에서 주최하는 행사에 참여 가능한 자","○ 공고일 현재 계속하여 1년 이상 동구에 주민등록이 등재되어 있는 자 또는 그의 자녀○ 대전광역시 소재 고등학교 재학생","○ 성적이 높은 순으로 선발○ 우선순위 : 성적순 국가유공자 소득순","○ 50명※ 학교별 4명 이내 추천","○ 2025년도 타 장학금 수혜자는 제외○ 선발 분야 중 한 가지 분야만 신청 가능※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천","○ 장학금 지원 신청서○ 장학생 추천서○ 생활기록부 사본○ 주민등록 등본(주소변동사항 포함)○ 보호자 통장사본○ 기타 입증 서류(필요시)○ 개인정보 제공 동의서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.donggu.go.kr","2025-09-15","2025-09-26"
"936 ","재단법인 세종특별자치시인재육성평생교육진흥원","학교밖청소년지원장학","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","해당없음","○ (1유형) 저소득층 유형 : 국민기초생활보장법 제2조 제11호에 따른 기준 중위소득 120% 이하 가정","○ 100만원","○ 학교를 다니지 않는 청소년○ 세종시학교밖청소년지원센터 프로그램(3개월 이상) 참여자○ (2유형) 우수인재 유형 : 검정고시 합격자 / 관내·외 대회 수상자 등","○ 공고일 기준 1년 이상 세종시 계속 거주자(부·모 또는 본인)","※ 기관확인필요","○ 10명","○ 유학생 또는 유학 준비 중인 학생 제외○ 기존 수혜자 수혜 불가※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 세종시학교밖청소년지원센터장의 추천","○ 신청서 / 개인정보 활용 동의서 / 서약서 / 행정정보 공동이용 사전동의서○ 통장사본○ 주민등록등본(반드시 선택발급)○ 가족관계증명서(해당자만)○ 기타 대상 증빙서류(자기소개서/제적증명서/정원외관리증명서 등)○ 건강보험료 납입확인서 / 건강보험 자격확인(통보)서○ 국민기초생활수급자 증명서/차상위계층 확인서/한부모가족 증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.sri.re.kr","2026-05-06","2026-07-10"
"937 ","(재)보성군장학재단","푸른꿈장학생","지자체(출자출연기관)","장학금","특기자","해당없음","해당없음","해당없음","○ 건강보험료 납입액이 자녀가 2인인 경우 30%/3인 이상인 경우 50% 감하여 180%이하인 가구의 학생","○ 100만원","○ 예체능 분야를 확인할 수 있는 증명서 지참(학교장 추천서 기재)○ 공교육 이외에 예체능 관련 사교육 및 이와 관련된 비품 구입 등 내용을 증빙할 수 있는 자료 지참○ 광역자치단체 이상의 단체나 기관에서 주최한 전국대회 또는 도단위 대회에서 3위이내의 성적을 거둔 학생○ 국가대표로 선발된 학생","○ 본인 및 부모(친권자)가 공고일 현재 보성군에 1년 이상 주소를 두고 실제 거주하고 있는 세대의 손 자녀○ 보성군 내에 소재한 고등학교에 입학 및 재학 중인 학생","○ 소득평가 50% 심사위원 40% 에세이 10%※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 10명(초중등 인원 포함)","○ 개인별 중복신청 불가※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 해당 학교장 추천","○ 장학금지원 신청서○ 주민등록등본○ 가족관계증명서○ 장학생 추천서○ 건강보험료 납부확인서 및 건강보험 자격확인서○ 신청인 서약서○ 개인정보 수집·이용 및 제공·조회 동의서○ 통장사본○ 에세이○ 기타 가점서류○ 예체능분야를 확인할 수 있는 증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.boseong.go.kr/","2026-03-17","2026-03-31"
"938 ","양평군장학재단","가온누리 특별장학생","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","○ 경기지역화폐 50만원","○ 관외 고등학생: 양평군 관내 중학교 졸업생 중 법정 보호자와 본인이 양평군에 4년 이상 거주한 2025학년도 고등학교 3학년○ 검정고시 합격생: 공고일 현재 법정보호자와 본인이 양평군에 4년 이상 계속 거주중인 2007년생 검정고시 합격생○ 학교밖 청소년: 공고일 현재 법정 보호자와 본인이 양평군에 4년 이상 계속 거주 중인 2007년생 청소년","○ 법정 보호자와 본인이 양평군에 4년 이상 계속 거주 중인 자※ 관외 고등학생의 경우 법정 보호자와 본인이 양평군에 4년 이상 거주한 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 유자격자 학생 전원","○ 거주기간 미충족시 접수 불가○ 읍면사무소 접수 불가※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 가온누리 장학금 신청서○ 신청인 주민등록등본○ 고등학교 재학증명서(관외)○ 관내 중학교 졸업증명서(관외)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.ypedu.or.kr","2025-10-27","2025-11-07"
"939 ","해석정해영선생장학문화재단","고등학생 장학생","지자체(출자출연기관)","장학금","해당없음","해당없음","해당없음","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 고등학교1~2학년 미술계","○ 부산 울산에 기반을 둔 고등학교 재학생","○ 심사","○ 30명 내외","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천","○ 장학금 신청서○ 자기소개서○ 증명사진○ 학교장 추천서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.haesuk.or.kr","2024-08-12","2024-09-30"
"940 ","재단법인 달성교육재단","히어로즈 장학생","지자체(출자출연기관)","장학금","해당없음","해당없음","해당없음","○ 해당없음","○ 해당없음","○ 100만원","○ 달성군 보훈업무 담당과장이 추천한 히어로즈 패밀리의 초·중·고·대학생","○ 선발공고일 현재 달성군에 등록기준지 또는 주소를 2년 이상 계속 두고 있는 군민 또는 그의 자녀","○ 선발배점(학업성적50 재산20 소득 20 다자녀 가점10)","○ 5명","○ 읍면 장학회 장학금 선발자는 금액 무관 중복 지원불가○ 타 장학금500만원 이상 또는 등록금 전액 수혜자 ○ 휴학중인자/ 유학 중인자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 달성군 보훈업무 담당과장이 추천","○ 장학생 선발신청서○ 읍.면장 추천서○ 학교장추천서○ 주민등록등본○ 주민등록초본○ 개인정보 수집/이용/제공 및 조회동의서 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.dalseong.daegu.kr","2026-03-03","2026-03-27"
"941 ","시흥시인재양성재단","다함장학생","지자체(출자출연기관)","장학금","기타","해당없음","해당없음","해당없음","해당없음","○ 100만원","○ 공고일 기준 북한이탈가정 자녀에 해당하는 자○ 관내 고등학교 재학생 중 소득요건 등 기본자격 요건 충족한 자※ 소속 고등학교가 시흥시 관내에 없는 예·체·기능 학교일 경우 인정(공문서 등 확인 필요)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 공고일 기준 학생 또는 법정보호자의 주민등록초본 상 시흥시에서 1년 이상 연속거주","○ 소득심사 60점/ 거주기간 심사 20점/ 학업계획서 20점※ 동점자 처리기준: 기초생활수급자·차상위계/ 한부모가족·장애인(학생)/ 공고일 기준 시흥시 연속 거주기간","○ 중고등 30명(다문화가정 자녀 포함)○ 북한이탈의 경우 추천인원에 따라 선발인원은 유동적으로 변동될 수 있음","○ 당해연도 1가정 2자녀 이상 장학금 수혜 불가○ 학교에서 징계처분을 받은 자○ 관외 이사","○ 시흥경찰서 또는 서부하나센터 추천","○ 가족관계증명서(상세)○ 주민등록초본○ 재학증명서○ 시흥경찰서 또는 서부하나센터 추천서○ 북한이탈주민등록확인서○ 부모 각각의 건강보험납부확인서 및 건강보험자격득실확인서○ 학업계획서○ 취약계층 증빙서류(해당자)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.shinjeae.or.kr","2025-04-24","2025-05-15"
"942 ","안양시 인재육성재단","송정 미술꿈나무 장학생","지자체(출자출연기관)","장학금","해당없음","해당없음","해당없음","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 취약한 가정환경으로 어려움을 겪고 있는 학생○ 기초수급자 차상위 장애인 다문화 위기가정 조손가정 등","○ 100만원","○ 안양시 중고등학교 재학생으로 미술에 재능을 지닌 학생","○ 안양시 중고등학교","○ 심사","○ 10명","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 장학생 추천서○ 통장사본○ 주민등록 등본○ 자기 작업 포트폴리오※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://aytalent.or.kr","2024-08-12","2024-09-24"
"943 ","재단법인 세종특별자치시인재육성평생교육진흥원","장애인 특기적성장학","지자체(출자출연기관)","장학금","장애인","해당없음","해당없음","해당없음","해당없음","○ 100만원","○ 신체/지적/발달 등 장애인으로 등록된 학생○ 신청시작일 기준 1년 이내(2025.5.6.~ 2026.5.5.)에 전국 규모 이상의 대회에서 3위 이내 입상한 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 신청시작일 기준 1년 이상 세종시 계속 거주자(부·모 또는 본인) 혹은 세종시 관내 고등학교 재학생","○ 수상실적 배점과 소득배점을 7:3 비율로 합산하여 고득점자 선발○ 동점자 기준*1순위 : 장애의 정도가 심한 학생*2순위 : 세종시 관내 학교 재학/세종시 거주 모두 충족한 학생*3순위 : 세종시 거주기간이 긴 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 초/중/고/대학생 포함 8명","○ 동일한 수상실적으로 중복 수혜 불가○ 신청시작일로부터 1년이 초과된 수상실적은 0점 처리○ 신청 자격을 장학금 수혜 시기까지 지속 유지하여야 함※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천","○ 신청서 / 개인정보 활용 동의서 / 서약서 / 행정정보 공동이용 사전동의서○ 통장사본○ 추천서○ 수상실적 증명서(수상실적마다 각 1부)○ 주민등록등본(반드시 선택발급)○ 가족관계증명서 (해당자만)○ 장애인 증명서○ 건강보험료 납입확인서 / 건강보험 자격확인(통보)서○ 국민기초생활수급자 증명서/차상위계층 확인서/한부모가족 증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.sri.re.kr","2026-05-06","2026-07-10"
"944 ","사단법인 한국다문화청소년협회","특기장학","기타","장학금","특기자","해당없음","해당없음","해당없음","○ 2025년 기준 중위소득 80% 이하인 가구","○ 1인당 500만원","○ 체육/문화예술/기능/수학·과학 분야 등 특기 및 재능 보유 다문화가족 자녀○ 24.7월~25년 6월말까지 전국 규모 이상의 대회에서 3위권 이내 입상 실적 자료 제출이 가능한 자녀※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","※ 기관확인필요","○ 13명 내외(초/중/고/대학생 포함)","○ 타 기관 장학금 미수혜자 우선선발 예정○ 협회 장학(양육비) 수혜자 신청 불가○ 북한이탈주민 제외","○ 반드시 추천 학교 학교장의 추천서가 첨부 되어야 함※ 담임교사 및 기관 실무자 추천 불가※ 추천 학교의 직인인이 날인 되어야하며 개인 도장날인 및 서명은 인정되지 않음","○ 장학생 신청서○ 자기소개서○ 학교장 추천서○ 개인정보동의서○ 주민등록등본○ 소득증빙서류○ 다문화 대상자임을 입증할 수 있는 서류○ 생활기록부 사본○ 24.7월~25년 6월말까지 입상 실적 입증자료※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.kmcyouth.or.kr","2025-08-01","2025-08-29"
"945 ","재단법인민들레장학회","드림 장학금","기타","장학금","성적우수","해당없음","해당없음","○ 성적 우수자로 장학금 신청 기준 직전 학기 성적이 상위 30%     이내인 자","해당없음","※ 기관확인필요","○ 국내 고등학교 재학생○ 본인의 계획 및 비전을 구체적으로 밝힐 수 있는 자○ 올바른 인성과 배려 비전을 품고 있는 자","※ 기관확인필요","※ 기관확인필요","※ 기관확인필요","○ 타 장학금과 중복혜택 불가능","○ 지도 교사 및 학교장 추천서","○ 지원신청서○ 주민등록등본○ 성적증명서○ 재학증명서○ 추천서○ 통장사본○ 어학성적/수상경력증명서/사회봉사활동 경력증명서 등○ 차상위계층 증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.m.mdrsf.kr/","2025-07-10","2025-08-07"
"946 ","백운장학회(광양)","학교밖청소년 장학금","지자체(출자출연기관)","장학금","해당없음","해당없음","해당없음","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 기초생활수급자 차상위계층※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 700만원","○ 학술 기능 예체능 등과 관련하여 도 단위 또는 전국 단위 대회에서 3위 이내 입상자","○ 공고일 기준 부모 또는 보호자가 광양시에 1년 이상 주고를 두고 있는 학생○ 부 또는 모의 사망 부모가 이혼한 경우에는 현재 보호자의 주소지를 적용","○ 선발 심사는 서류심사를 원칙으로 함○ 장학생 선발은 (재)백운 장학회 이사회 승인 후 최종결정","○ 10명","○ 장학금의 이중허위 수혜 등 기타 부정행위가 적발된 경우○ 장학금 신청자와 그 부모가 지방세를 체납 중인 경우","○ 광양경찰서장이 추천","○ 장학금 신청서○ 주민등록등본○ 가족관계증명서○ 기초생활수급자 증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.gwangyang.go.kr/fund/","2025-08-01","2025-08-29"
